dt,vix,sp500,sp500_volume,djia,djia_volume,hsi,ads,us3m,joblessness,epu,GPRD,prev_day,sp500_ret,sp500_ma10,sp500_vol10,djia_ret,djia_ma10,djia_vol10,hsi_ret,hsi_ma10,hsi_vol10
1994-02-10,14.24,468.929993,327250000.0,3895.34,29.89,11504.0,0.0439724,3.33,3,94.5927035048737,124.55793762207,472.769989,-0.008122334516457608,475.69599610000006,0.008708029588775862,-0.009303342896091471,3934.203,0.010073963272226902,0.0,11636.2598633,0.024743751377364637
1994-02-11,14.46,470.179993,213740000.0,3894.78,21.11,11504.0,0.0655706,3.33,3,94.5927035048737,128.037796020508,468.929993,0.0026656430995233293,474.8439942,0.008659490859254798,-0.00014376152017536725,3929.138,0.009886308033653896,0.0,11648.8798828,0.024561281108617848
1994-02-14,14.28,470.230011,263190000.0,3904.06,23.22,10988.799805,0.137209,3.34,3,94.5927035048737,168.296508789062,470.179993,0.00010638053669786984,473.7059968,0.008255280631561748,0.002382676300073383,3921.708,0.009411806011248955,-0.044784439760083394,11599.0598633,0.028279191438095007
1994-02-15,13.4,472.519989,306790000.0,3928.27,24.94,11012.299805,0.163719,3.34,3,94.5927035048737,147.743621826172,470.230011,0.004869910355423945,472.9959962,0.008526616998702422,0.006201236661321774,3918.1339999999996,0.009713799241650379,0.0021385410979375408,11517.5998047,0.02588084782088335
1994-02-16,13.13,472.790009,295450000.0,3937.27,25.32,10634.099609,0.191602,3.34,3,94.5927035048737,193.408935546875,472.519989,0.0005714467245532262,472.0749971,0.008268456745789592,0.002291084879603389,3914.3070000000007,0.009689091303783688,-0.03434343440488996,11402.429785100001,0.027244946792633506
1994-02-17,13.79,470.339996,340030000.0,3922.64,31.71,10786.599609,0.220868,3.35,3,94.5927035048737,157.130508422852,472.790009,-0.005182032093237421,471.03799760000004,0.008332440232504373,-0.0037157726038600236,3909.8050000000003,0.009725565871729803,0.014340659351256502,11295.9797851,0.027932120900670182
1994-02-18,14.7,467.690002,293210000.0,3887.46,26.28,10825.900391,0.251528,3.36,3,94.5927035048737,112.695602416992,470.339996,-0.005634209343319374,470.8259980000001,0.004553321132502926,-0.008968449819509283,3911.4090000000006,0.006267550901875652,0.003643482044814794,11162.8098633,0.025639721921007257
1994-02-22,13.52,471.459991,270900000.0,3911.66,20.61,10674.0,0.385307,3.4,3,94.5927035048737,140.556198120117,467.690002,0.008060871482987064,470.7959961,0.005123784351774615,0.00622514443878508,3911.943,0.005894005658280825,-0.01403120161037874,11088.7798828,0.018890384969579635
1994-02-23,13.91,470.690002,309910000.0,3891.68,23.56,10763.200195,0.42007,3.46,3,94.5927035048737,109.288352966309,471.459991,-0.001633201151102548,470.7599975,0.00512798151937505,-0.005107805893150186,3910.5080000000003,0.006125876148670987,0.008356772999812634,11019.6899414,0.019236605563911668
1994-02-24,15.96,464.26001,342940000.0,3839.9,27.42,10432.0,0.455286,3.44,3,94.5927035048737,114.665809631348,470.690002,-0.013660778798526452,469.9089996000001,0.00647852386286432,-0.013305307733420979,3901.3059999999996,0.00680771028151386,-0.030771535324025434,10912.4899414,0.020306336478412033
1994-02-25,14.8,466.070007,273680000.0,3838.78,23.87,10100.299805,0.490969,3.44,3,94.5927035048737,81.7514266967773,464.26001,0.0038986709193409297,469.62300099999993,0.006286614316095623,-0.0002916742623505497,3895.65,0.006366322769867716,-0.03179641439800607,10772.119921900001,0.021118805686461257
1994-02-28,14.87,467.140015,268690000.0,3832.02,24.2,10410.200195,0.603048,3.47,2,94.5927035048737,88.6164627075195,466.070007,0.0022958096078471435,469.31900319999994,0.006266364572722511,-0.0017609761434622673,3889.3740000000007,0.006350164388664735,0.030682296167742207,10662.7399414,0.025038077838919398
1994-03-01,15.83,464.440002,304450000.0,3809.23,30.29,10148.400391,0.644923,3.58,2,87.006317751102,94.428955078125,467.140015,-0.005779879507860186,468.7400023,0.006462814365153207,-0.005947254972573202,3879.8909999999996,0.006315205547286054,-0.025148392835494415,10578.7,0.022631389975912786
1994-03-02,16.08,464.809998,361130000.0,3831.74,38.36,9877.400391,0.685406,3.55,2,87.006317751102,112.290428161621,464.440002,0.0007966497252749338,467.9690032,0.006157541282472002,0.005909330757134512,3870.238,0.006271358197948791,-0.026703715813216622,10465.2100586,0.02307279135138071
1994-03-03,16.36,463.01001,291790000.0,3824.42,27.3,9802.0,0.724514,3.56,2,87.006317751102,93.311767578125,464.809998,-0.00387252427388618,466.99100329999993,0.006141616965386817,-0.001910359262371597,3858.953,0.006054137739341782,-0.007633627069395854,10382.000097699998,0.021508835115722144
1994-03-04,16.0,464.73999,311850000.0,3832.3,25.71,9918.200195,0.76226,3.62,2,87.006317751102,130.891723632812,463.01001,0.003736377103380484,466.43100269999996,0.006285517290007278,0.0020604431521642486,3849.9189999999994,0.006239041303470629,0.011854743419710267,10295.1601563,0.02123577748675754
1994-03-07,14.26,466.910004,285590000.0,3856.22,22.15,10061.599609,0.866263,3.61,3,87.006317751102,109.607025146484,464.73999,0.004669307670295497,466.3530029,0.00631850612916671,0.006241682540510718,3846.7949999999996,0.00628916912419913,0.01445820926989283,10218.7300781,0.02215871091357627
1994-03-08,16.23,465.880005,298110000.0,3851.72,28.66,10294.599609,0.89627,3.63,3,87.006317751102,105.76042175293,466.910004,-0.0022059904289393195,465.79500429999996,0.005633261606372126,-0.0011669458692709078,3840.8010000000004,0.00578761052014671,0.02315735161947652,10180.790039,0.023912470653744387
1994-03-09,14.41,467.059998,309810000.0,3853.41,24.82,10224.400391,0.923765,3.61,3,87.006317751102,106.627708435059,465.880005,0.002532826022443313,465.4320038999999,0.005748524507403885,0.00043876501926409794,3836.9739999999997,0.005671011797092269,-0.0068190333443012285,10126.9100586,0.02356569288274714
1994-03-10,16.55,463.899994,369370000.0,3830.61,24.66,10129.099609,0.948757,3.57,3,87.006317751102,128.315567016602,467.059998,-0.006765734624098574,465.39600229999996,0.004246305085876792,-0.005916837294759669,3836.0449999999996,0.004167913557134602,-0.009320916469966023,10096.6200195,0.02186085151280464
1994-03-11,14.87,466.440002,303890000.0,3862.7,21.39,9905.700195,0.971258,3.58,3,87.006317751102,112.811904907227,463.899994,0.005475335272369097,465.43300180000006,0.004435087762223667,0.008377255841758746,3838.4370000000004,0.004977566683093521,-0.022055209507615525,10077.1600585,0.020602400633190965
1994-03-14,16.61,467.390015,260150000.0,3862.98,24.6,9980.099609,1.02381,3.66,3,87.006317751102,71.5800933837891,466.440002,0.0020367314036673356,465.45800180000003,0.004421495003268931,7.248815595306546e-05,3841.5329999999994,0.004912955874161038,0.007510767793835971,10034.149999899999,0.017639019542230936
1994-03-15,14.78,467.01001,303750000.0,3849.59,27.5,9863.599609,1.03625,3.66,3,87.006317751102,63.7032279968262,467.390015,-0.0008130361963337718,465.71500260000005,0.00394566799965402,-0.0034662359111359287,3845.5690000000004,0.0045851852057536245,-0.011673230184490402,10005.6699217,0.016314843549405895
1994-03-16,14.51,469.420013,307640000.0,3848.15,25.83,9720.599609,1.04615,3.61,3,87.006317751102,100.493629455566,467.01001,0.005160495382100949,466.17600410000006,0.004207502321176339,-0.0003740658096057503,3847.2100000000005,0.004266894360834017,-0.014497749875159172,9989.989843500001,0.014697790795298501
